region,country,weather_station,station_code,data_format,url
2,CHN,Hubei.Wuhan,574940,CSWD,2_asia_wmo_region_2/CHN_Hubei.Wuhan.574940_CSWD.zip
2,CHN,Hubei.Wuhan,574940,SWERA,2_asia_wmo_region_2/CHN_Hubei.Wuhan.574940_SWERA.zip
2,CHN,Hubei.Yichang,574610,CSWD,2_asia_wmo_region_2/CHN_Hubei.Yichang.574610_CSWD.zip
2,CHN,Hubei.Yunxi,572510,CSWD,2_asia_wmo_region_2/CHN_Hubei.Yunxi.572510_CSWD.zip
2,CHN,Hubei.Zhongxiang,573780,CSWD,2_asia_wmo_region_2/CHN_Hubei.Zhongxiang.573780_CSWD.zip
2,CHN,Hunan.Changde,576620,CSWD,2_asia_wmo_region_2/CHN_Hunan.Changde.576620_CSWD.zip
2,CHN,Hunan.Changning,578740,CSWD,2_asia_wmo_region_2/CHN_Hunan.Changning.578740_CSWD.zip
2,CHN,Hunan.Changsha,576870,CSWD,2_asia_wmo_region_2/CHN_Hunan.Changsha.576870_CSWD.zip
2,CHN,Hunan.Changsha,576870,SWERA,2_asia_wmo_region_2/CHN_Hunan.Changsha.576870_SWERA.zip
2,CHN,Hunan.Jishou,576490,CSWD,2_asia_wmo_region_2/CHN_Hunan.Jishou.576490_CSWD.zip
2,CHN,Hunan.Lingling,578660,CSWD,2_asia_wmo_region_2/CHN_Hunan.Lingling.578660_CSWD.zip
2,CHN,Hunan.Nanxian,575740,CSWD,2_asia_wmo_region_2/CHN_Hunan.Nanxian.575740_CSWD.zip
2,CHN,Hunan.Shimen,575620,CSWD,2_asia_wmo_region_2/CHN_Hunan.Shimen.575620_CSWD.zip
2,CHN,Hunan.Wugang,578530,CSWD,2_asia_wmo_region_2/CHN_Hunan.Wugang.578530_CSWD.zip
2,CHN,Hunan.Zhijiang,577450,CSWD,2_asia_wmo_region_2/CHN_Hunan.Zhijiang.577450_CSWD.zip
2,CHN,Hunan.Zhuzhou,577800,CSWD,2_asia_wmo_region_2/CHN_Hunan.Zhuzhou.577800_CSWD.zip
2,CHN,Jiangsu.Dongtai,582510,CSWD,2_asia_wmo_region_2/CHN_Jiangsu.Dongtai.582510_CSWD.zip
2,CHN,Jiangsu.Ganyu,580400,CSWD,2_asia_wmo_region_2/CHN_Jiangsu.Ganyu.580400_CSWD.zip
2,CHN,Jiangsu.Huaiyang-Qingjiang,581440,CSWD,2_asia_wmo_region_2/CHN_Jiangsu.Huaiyang-Qingjiang.581440_CSWD.zip
2,CHN,Jiangsu.Lusi,582650,CSWD,2_asia_wmo_region_2/CHN_Jiangsu.Lusi.582650_CSWD.zip
2,CHN,Jiangsu.Nanjing,582380,CSWD,2_asia_wmo_region_2/CHN_Jiangsu.Nanjing.582380_CSWD.zip
2,CHN,Jiangsu.Xuzhou,580270,CSWD,2_asia_wmo_region_2/CHN_Jiangsu.Xuzhou.580270_CSWD.zip
2,CHN,Jiangxi.Ganzhou,579930,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Ganzhou.579930_CSWD.zip
2,CHN,Jiangxi.Jian,577990,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Jian.577990_CSWD.zip
2,CHN,Jiangxi.Jingdezhen,585270,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Jingdezhen.585270_CSWD.zip
2,CHN,Jiangxi.Nanchang,586060,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Nanchang.586060_CSWD.zip
2,CHN,Jiangxi.Nancheng,587150,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Nancheng.587150_CSWD.zip
2,CHN,Jiangxi.Nancheng,587150,SWERA,2_asia_wmo_region_2/CHN_Jiangxi.Nancheng.587150_SWERA.zip
